Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
5.74,110.5,24.6,0.0,-0.045,0.072,0.08490583018850943,0.0,0.0,194.00000000000006,0.105,0.115,100.0
5.9,120.2,24.6,0.0,-0.042,0.07,0.08163332652783421,15.900000000000006,0.0,189.0,0.105,0.1,97.77101737101736
6.05,129.4,23.01,0.0,-0.042,0.069,0.08077747210701756,15.899999999999977,0.0,147.0,0.10500000000000001,0.095,95.54203474203474
6.14,134.9,23.01,0.0,-0.038,0.066,0.07615773105863909,4.0,0.0,158.0,0.11,0.08,93.31305211305211
6.28,145.2,22.61,0.0,-0.045,0.065,0.07905694150420949,27.80000000000001,0.0,155.0,0.10500000000000001,0.08499999999999999,91.08406948406949
6.38,150.4,20.23,0.0,-0.039,0.062,0.07324616030891995,55.50000000000003,0.0,128.0,0.10500000000000001,0.055,88.85508685508685
6.51,158.0,17.06,0.0,-0.048,0.059,0.07605918747922567,47.599999999999994,0.0,100.0,0.10500000000000001,0.07,86.62610422610423
6.6,160.4,15.47,0.0,-0.044,0.056,0.07121797525905943,27.799999999999983,0.0,64.00000000000023,0.10500000000000001,0.085,84.3971215971216
6.72,164.4,14.28,0.0,-0.035,0.052,0.06268173577685927,11.900000000000006,0.0,29.0,0.11,0.13,82.16813896813898
6.8,163.3,14.28,0.0,-0.027,0.053,0.0594810894318522,15.900000000000006,0.0,97.00000000000023,0.11,0.18,79.93915633915634
6.92,154.7,15.87,0.0,-0.005,0.058,0.05821511831131154,15.900000000000006,0.0,145.0,0.11,0.255,77.71017371017372
7.0,148.8,15.87,0.0,-0.012,0.054,0.05531726674375732,31.700000000000045,0.0,136.99999999999977,0.11,0.255,77.54655174655176
7.11,141.0,12.7,0.0,-0.009,0.051,0.0517880295048962,43.70000000000006,0.0,67.00000000000068,0.115,0.23,77.51653211653212
7.18,142.1,11.5,0.0,-0.029,0.045,0.05353503525729669,11.800000000000125,0.0,62.00000000000023,0.115,0.175,77.4865124865125
7.27,147.2,13.88,0.0,-0.035,0.043,0.05544366510251644,39.7,0.0,85.99999999999977,0.12000000000000001,0.125,77.45649285649286
7.34,150.7,15.47,0.0,-0.037,0.048,0.06060528029800704,35.799999999999955,0.0,88.0,0.11,0.12000000000000001,77.42647322647323
7.44,156.0,17.46,0.0,-0.06,0.045,0.075,19.900000000000006,0.0,122.00000000000068,0.11000000000000001,0.10500000000000001,77.39645359645361
7.52,162.9,17.46,0.0,-0.063,0.045,0.07742092740338365,5.684341886080802e-14,0.0,138.0,0.11000000000000001,0.125,77.36643396643397
7.62,169.8,17.46,0.0,-0.061,0.047,0.07700649323271382,5.684341886080802e-14,0.0,117.00000000000023,0.11000000000000001,0.11499999999999999,77.33641433641435
7.7,174.6,17.46,0.0,-0.065,0.048,0.08080222769206305,15.900000000000034,0.0,106.99999999999955,0.105,0.125,77.30639470639471
7.81,180.5,15.87,0.0,-0.054,0.049,0.07291776189653656,15.900000000000006,0.0,107.0,0.11,0.16,77.27637507637509
7.92,185.3,15.87,0.0,-0.057,0.044,0.07200694410957877,0.0,0.0,60.99999999999977,0.11000000000000001,0.195,76.08202608202609
7.98,186.6,15.87,0.0,-0.052,0.046,0.06942621983083912,2.842170943040401e-14,0.0,29.999999999999773,0.11000000000000001,0.22500000000000003,74.72662472662473
8.09,188.3,15.87,0.0,-0.049,0.045,0.06652818951391959,2.842170943040401e-14,0.0,17.000000000000682,0.11,0.26,73.37122337122338
8.16,188.3,15.87,0.0,-0.048,0.046,0.06648308055437865,3.9999999999999716,0.0,0.0,0.11,0.28,72.01582201582201
8.27,188.3,15.47,0.0,-0.049,0.045,0.06652818951391959,3.9999999999999716,0.0,8.0,0.11000000000000001,0.30000000000000004,70.66042066042066
